"ref_date","user_source","share_scene","share_count","share_user"
"2016-08-10",0,5,8,7
"2016-08-11",0,1,139,111
"2016-08-11",0,2,84,75
"2016-08-11",0,5,5,5
"2016-08-12",0,1,89,60
"2016-08-12",0,2,82,68
"2016-08-12",0,5,6,6
"2016-08-13",0,1,96,81
"2016-08-13",0,2,111,104
"2016-08-13",0,5,4,3
"2016-08-14",0,1,47,36
"2016-08-14",0,2,38,33
"2016-08-14",0,5,3,3
"2016-08-15",0,1,95,68
"2016-08-15",0,2,54,46
"2016-08-15",0,5,6,4
"2016-08-16",0,1,65,47
"2016-08-16",0,2,38,31
"2016-08-16",0,5,2,2
"2016-08-17",0,1,115,80
"2016-08-17",0,2,49,41
"2016-08-17",0,5,1,1
"2016-08-18",0,1,110,88
"2016-08-18",0,2,61,55
"2016-08-18",0,5,8,7
"2016-08-19",0,1,116,81
"2016-08-19",0,2,31,25
"2016-08-19",0,5,3,3
"2016-08-20",0,1,19,17
"2016-08-20",0,2,25,23
"2016-08-20",0,5,1,1
"2016-08-21",0,1,42,28
"2016-08-21",0,2,29,27
"2016-08-21",0,5,1,1
"2016-08-22",0,1,116,78
"2016-08-22",0,2,98,80
"2016-08-23",0,1,92,79
"2016-08-23",0,2,63,58
"2016-08-23",0,5,2,2
"2016-08-24",0,1,118,90
"2016-08-24",0,2,110,91
"2016-08-24",0,5,3,3
"2016-08-25",0,1,64,51
"2016-08-25",0,2,45,38
"2016-08-25",0,5,4,4
"2016-08-26",0,1,110,82
"2016-08-26",0,2,78,59
"2016-08-26",0,5,3,3
"2016-08-27",0,1,46,26
"2016-08-27",0,2,29,25
"2016-08-28",0,1,87,66
"2016-08-28",0,2,57,49
"2016-08-28",0,5,7,6
"2016-08-29",0,1,111,72
"2016-08-29",0,2,49,41
"2016-08-29",0,5,2,2
"2016-08-30",0,1,52,45
"2016-08-30",0,2,59,43
"2016-08-30",0,5,1,1
"2016-08-31",0,1,53,34
"2016-08-31",0,2,39,21
"2016-08-31",0,5,2,2
"2016-09-01",0,1,101,64
"2016-09-01",0,2,60,52
"2016-09-01",0,5,2,2
"2016-09-02",0,1,98,67
"2016-09-02",0,2,50,34
"2016-09-02",0,5,3,3
"2016-09-03",0,1,56,46
"2016-09-03",0,2,39,30
"2016-09-03",0,5,4,1
"2016-09-04",0,1,15,11
"2016-09-04",0,2,8,6
"2016-09-05",0,1,41,31
"2016-09-05",0,2,37,27
"2016-09-05",0,5,2,2
"2016-09-06",0,1,47,34
"2016-09-06",0,2,31,24
"2016-09-07",0,1,145,104
"2016-09-07",0,2,68,54
"2016-09-07",0,5,3,3
"2016-09-08",0,1,98,75
"2016-09-08",0,2,68,56
"2016-09-08",0,5,5,5
"2016-09-09",0,1,103,73
"2016-09-09",0,2,52,46
"2016-09-10",0,1,46,26
"2016-09-10",0,2,24,22
"2016-09-10",0,5,2,1
"2016-09-11",0,1,40,29
"2016-09-11",0,2,47,32
"2016-09-11",0,5,1,1
"2016-09-12",0,1,87,59
"2016-09-12",0,2,69,54
"2016-09-12",0,5,1,1
"2016-09-13",0,1,52,40
"2016-09-13",0,2,45,32
"2016-09-13",0,5,4,3
"2016-09-14",0,1,41,29
"2016-09-14",0,2,36,25
