"2020-07-14",0,17341
"2020-07-15",0,17333
"2020-07-16",0,17333
"2020-07-17",0,17336
"2020-07-18",0,17335
"2020-07-19",0,17339
"2020-07-20",0,17336
"2020-07-21",0,17342
"2020-07-22",0,17342
"2020-07-23",0,17342
"2020-07-24",0,17341
"2020-07-25",0,17344
"2020-07-26",0,17346
"2020-07-27",0,17343
"2020-07-28",0,17345
"2020-07-29",0,17344
"2020-07-30",0,17343
"2020-07-31",0,17349
"2020-08-01",0,17355
"2020-08-02",0,17355
"2020-08-03",0,17358
"2020-08-04",0,17355
"2020-08-05",0,17355
"2020-08-06",0,17355
"2020-08-07",0,17371
"2020-08-08",0,17372
"2020-08-09",0,17378
"2020-08-10",0,17384
"2020-08-11",0,17389
"2020-08-12",0,17389
"2020-08-13",0,17392
"2020-08-14",0,17391
"2020-08-15",0,17398
"2020-08-16",0,17400
"2020-08-17",0,17399
"2020-08-18",0,17400
"2020-08-19",0,17405
"2020-08-20",0,17407
"2020-08-21",0,17408
"2020-08-22",0,17409
"2020-08-23",0,17410
"2020-08-24",0,17415
"2020-08-25",0,17423
"2020-08-26",0,17424
"2020-08-27",0,17425
"2020-08-28",0,17421
"2020-08-29",0,17425
"2020-08-30",0,17430
"2020-08-31",0,17430
"2020-09-01",0,17434
"2020-09-02",0,17432
"2020-09-03",0,17435
"2020-09-04",0,17435
"2020-09-05",0,17442
"2020-09-06",0,17442
"2020-09-07",0,17448
"2020-09-08",0,17448
"2020-09-09",0,17445
"2020-09-10",0,17452
"2020-09-11",0,17454
"2020-09-12",0,17455
"2020-09-13",0,17455
"2020-09-14",0,17462
"2020-09-15",0,17468
"2020-09-16",0,17474
"2020-09-17",0,17477
"2020-09-18",0,17477
"2020-09-19",0,17480
"2020-09-20",0,17480
"2020-09-21",0,17481
"2020-09-22",0,17484
"2020-09-23",0,17490
"2020-09-24",0,17491
"2020-09-25",0,17492
"2020-09-26",0,17493
"2020-09-27",0,17498
"2020-09-28",0,17505
"2020-09-29",0,17506
"2020-09-30",0,17507
"2020-10-01",0,17505
"2020-10-02",0,17502
"2020-10-03",0,17506
"2020-10-04",0,17507
"2020-10-05",0,17504
"2020-10-06",0,17502
"2020-10-07",0,17500
"2020-10-08",0,17508
"2020-10-09",0,17520
"2020-10-10",0,17526
"2020-10-11",0,17526
"2020-10-12",0,17530
"2020-10-13",0,17532
"2020-10-14",0,17540
